
Щавель,22,2,0.7,3.2
Базилик,23,3.2,0.6,2.7
Кинза,23,2.1,0.5,3.7
Мята,70,3.8,0.9,14
Розмарин,131,3.3,5.9,20
Тимьян,101,5.6,1.7,24
Орегано,265,9,4.3,69
Имбирь,80,1.8,0.8,18
Куркума,312,9.7,3.2,65
Корица,247,4,1.2,81
Ваниль,288,0.1,0.1,13
Горчица,66,4.4,3.3,5.8
Хрен,48,1.2,0.7,11
Аджика,120,2,5,18
Кетчуп,110,1.3,0.2,26
Соевый соус,53,8,0.1,4.9
Бальзамический уксус,88,0.5,0,17
Яблочный уксус,21,0,0,5.9
Оливки,115,0.8,11,6
Маслины,145,1,15,4
Каперсы,23,2.4,0.9,4.9
Арахис,567,26,49,16
Кокос,354,3.3,33,15
Физалис,53,1.9,0.7,11
Пекан,691,9,72,14
Бразильский орех,656,14,66,12
Кедровый орех,673,14,68,13
Мак,525,18,42,28
Сироп кленовый,260,0,0,67
Патока,290,0,0,75
Стевия,0,0,0,0
Агар-агар,306,6.2,0,81
Желатин,355,87,0,0
Дрожжи сухие,325,40,6,41
Сода,0,0,0,0
Разрыхлитель,79,0.1,0,19
Какао-порошок,228,20,14,58
Кофе молотый,1,0.1,0,0.2
Чай черный,1,0,0,0.3
Чай зеленый,1,0,0,0.2
Иван-чай,1,0,0,0.2
Ромашка,1,0,0,0.2
Шиповник,162,1.6,0.3,38
Боярышник,52,0,0,14
Мята перечная,70,3.8,0.9,14
Мелисса,44,3.7,0.4,8
Эхинацея,1,0,0,0.2
Женьшень,1,0,0,0.2
Красный перец,40,1.9,0.4,9
Черный перец,251,10,3.3,64
Душистый перец,263,6,8.7,72
Лавровый лист,313,8,8,75
Кориандр,298,12,18,55
Тмин,375,18,22,50
Укроп сушеный,253,20,4.4,55
Петрушка сушеная,276,22,4.4,50

Базилик сушеный,233,23,4,49
Орегано сушеный,265,9,4.3,69
Розмарин сушеный,331,5,15,64
Тимьян сушеный,276,9,7.4,63
Майоран сушеный,271,13,7,60
Шалфей сушеный,315,11,13,60
Чабер сушеный,272,6,6,63
Эстрагон сушеный,295,23,7,50
Имбирь сушеный,335,9,4,72
Чеснок сушеный,331,17,0.7,75
Лук сушеный,349,9,1,83
Сельдерей сушеный,319,11,2,64
Паприка,282,14,13,54
Карри,325,13,14,58
Кардамон,311,11,7,68
Гвоздика,274,6,13,66
Мускатный орех,525,6,36,49
Шафран,310,11,6,65
Бадьян,337,18,16,50
Анис,337,18,16,50
Фенхель,345,15,15,52
Зира,375,18,22,44
Куркума молотая,312,10,3,65
Корица молотая,247,4,1,81
Ваниль молотая,288,0,0,13

# Основные блюда
Борщ,56,2.5,2.3,6.1
Щи,48,2.1,2.0,5.4
Солянка,102,5.3,6.8,4.2
Оливье,198,5.2,16,8.3
Сельдь под шубой,183,4.9,12,12
Пельмени,275,12,14,25
Вареники с картошкой,148,4.5,3.2,25
Вареники с вишней,182,3.1,1.2,38
Греческий салат,128,3.2,10,6.1
Цезарь с курицей,165,12,8,10
Плов,218,7.5,12,20
Пюре картофельное,106,2.5,4.2,14
Гречка с грибами,120,4.3,3.5,18
Рис с овощами,112,2.8,1.3,23
Макароны по-флотски,152,7.5,5.1,18
Жаркое с говядиной,187,14,11,6.2
Бефстроганов,193,16,10,7.5
Курица гриль,184,25,9,0
Рыба запеченная,126,20,5,0.5
Котлета куриная,190,18,11,6.3
Котлета свиная,268,15,21,8.7
Голубцы,143,7.2,6.1,12
Фаршированный перец,119,5.5,4.8,12
Лазанья,135,7.8,5.2,14
Паста карбонара,289,12,18,20
Пицца Маргарита,265,9.8,10,33
Пицца Пепперони,278,12,12,30
Спагетти Болоньезе,148,8.5,5.1,16
Рататуй,72,1.8,4.2,7.5
Фондю сырное,315,18,24,5.1
Фондю шоколадное,345,6.2,20,35

Тыквенный суп-пюре,62,1.8,3.2,7.1
Гороховый суп,89,6.5,2.1,12
Фасолевый суп,78,5.8,1.9,10
Куриный суп с лапшой,56,4.8,1.7,6.3
Том Ям,72,5.1,3.8,4.5
Мисо-суп,35,2.8,1.2,3.9
Харчо,98,6.2,4.1,8.7
Суп-харчо,102,6.5,4.3,9.1
Суп с фрикадельками,84,6.8,3.5,6.2
Крем-суп из шампиньонов,92,3.5,6.1,6.8

Тирамису,345,6.2,24,25
Чизкейк,321,5.5,22,26
Панна-котта,265,3.8,18,21
Крем-брюле,285,4.1,16,28
Медовик,378,5.8,18,48
Наполеон,365,5.2,21,40
Торт "Прага",385,5.1,23,42
Торт "Киевский",392,6.2,24,43
Эклер,245,4.8,12,30
Пирожное "Картошка",315,4.5,14,42
Пончики,325,5.1,15,42
Блинчики с творогом,185,8.2,5.1,25
Блинчики с мясом,210,9.8,8.5,22
Сырники,198,12,8.1,20
Оладьи,225,6.5,8.2,32
Вафли,425,6.8,25,45
Печенье песочное,486,6.2,24,62
Пряники,350,5.1,8.2,68
Кекс,325,5.8,12,52
Маффины,365,6.2,18,48

Омлет с сыром,198,14,15,2.1
Яичница с беконом,245,12,20,1.2
Гранола с йогуртом,185,6.8,5.2,28
Смузи-боул,145,3.5,2.1,28
Тосты с авокадо,215,5.2,12,22
Каша овсяная на молоке,102,4.2,3.8,15
Каша гречневая с маслом,132,4.8,3.5,22
Мюсли с молоком,165,5.8,3.2,28

Вода минеральная,0,0,0,0
Вода газированная,0,0,0,0
Чай черный без сахара,1,0,0,0.2
Чай зеленый без сахара,1,0,0,0.1
Кофе черный без сахара,2,0.1,0,0.3
Кофе с молоком без сахара,15,0.8,0.8,1.2
Капучино,45,2.1,2.3,3.8
Латте,52,2.8,2.5,4.2
Горячий шоколад,150,3.5,8.1,18
Какао на молоке,120,4.2,5.1,12
Компот из сухофруктов,60,0.3,0,15
Морс клюквенный,45,0.2,0,11
Кисель,75,0.2,0,18
Лимонад,42,0,0,10.5
Кола,42,0,0,10.6
Пепси,41,0,0,10.4
Спрайт,40,0,0,10
Фанта,48,0,0,12
Сок яблочный,46,0.1,0,11
Сок апельсиновый,45,0.7,0,10
Сок томатный,21,0.8,0.2,4.2
Сок гранатовый,64,0.3,0,16
Сок морковный,40,0.8,0.2,9.2
Смузи фруктовый,65,1.2,0.3,14
Смузи зеленый,48,1.8,0.5,9.2
Молочный коктейль,120,3.5,4.2,18
Энергетик,45,0,0,11


Пиво светлое 4.5%,42,0.5,0,3.8
Пиво темное 5%,48,0.5,0,4.5
Вино красное сухое,68,0.1,0,0.6
Вино белое сухое,72,0.1,0,0.7
Вино красное полусладкое,98,0.2,0,8.5
Вино белое полусладкое,105,0.2,0,9.2
Шампанское брют,70,0.1,0,1.5
Шампанское полусладкое,95,0.1,0,8.2
Водка,235,0,0,0
Виски,250,0,0,0.1
Коньяк,240,0,0,0.2
Ром,231,0,0,0
Джин,263,0,0,0
Текила,231,0,0,0
Ликер Бейлис,315,3.2,12,28
Ликер Амаретто,280,0,0,32
Абсент,260,0,0,0
Сидр,52,0.1,0,5.8
Медовуха,95,0.2,0,12
Саке,134,0.5,0,5
